Regi¢n;PIB 2021 (*);Empresa_S;T_fem_S;T_M_S;V_poco;V_normal;V_mucha
Regi¢n de Arica y Parinacota;1561,28;0,498763499;1,519557105;2,384876325;1;0;0
Regi¢n de Tarapac ;4811,17;0,449297138;1,429218652;2,143475975;1;0;0
Regi¢n de Antofagasta;16202,73;0,336402251;1,227161741;1,656216116;1;0;0
Regi¢n de Atacama;3913,44;0,473509027;1,479297883;2,167279283;1;0;0
Regi¢n de Coquimbo;6159,73;0,23458129;1,08902647;1,630651687;1;0;0
Regi¢n de Valpara¡so;14294,63;0,342101237;0,056131763;0,342782791;0;1;0
Regi¢n Metropolitana de Santiago;82857,68;3,627810223;15,18620937;22,43105572;0;1;0
Regi¢n del Libertador General Bernardo OHiggins;8335,61;0,097495647;0,461736375;0,738890559;0;1;0
Regi¢n del Maule;7504,43;0,034926548;0,459411695;0,659034298;0;1;0
Regi¢n de ¥uble;2590,23;0,35835286;1,226661583;1,989046814;0;1;0
Regi¢n del Biob¡o;12488,67;0,113014644;0,286328743;0,16481449;0;0;1
Regi¢n de La Araucan¡a;5680,18;0,133274578;0,863694586;1,337650497;0;0;1
Regi¢n de Los R¡os;2670,84;0,403233263;1,390192215;2,164912337;0;0;1
Regi¢n de Los Lagos;6547,8;0,096889822;0,731216035;0,94415271;0;0;1
Regi¢n de Ays‚n del General Carlos Ib ¤ez del Campo;1191;0,534711497;1,592037792;2,488916297;0;0;1
Regi¢n de Magallanes y de la Ant rtica Chilena;1885,21;0,50134178;1,486800258;2,303921124;0;0;1
